fusion_id	tissue	gene1_tpm	gene2_tpm	log2_ratio	hotspot_status	hotspot_reason
PHF6::HPRT1_i_i_912279	Artery_Aorta	3.18	30.85	-3.238	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Artery_Coronary	3.31	28.69	-3.08	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Artery_Tibial	3.04	29.37	-3.229	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Bladder	3.12	19.68	-2.621	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Brain_Amygdala	1.77	41.3	-4.467	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Brain_Anterior_cingulate_cortex_BA24	1.98	73.46	-5.142	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Brain_Caudate_basal_ganglia	1.96	33.69	-4.033	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Brain_Cerebellar_Hemisphere	6.65	78.18	-3.537	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Brain_Cerebellum	5.02	51.47	-3.333	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Brain_Cortex	1.89	61.56	-4.95	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Brain_Frontal_Cortex_BA9	2.62	119.68	-5.46	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Brain_Hippocampus	1.92	35.31	-4.132	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Brain_Hypothalamus	2.5	68.42	-4.719	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Brain_Nucleus_accumbens_basal_ganglia	2.13	52.88	-4.568	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Brain_Putamen_basal_ganglia	1.56	27.63	-4.06	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Brain_Spinal_cord_cervical_c-1	4.3	16.23	-1.891	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Brain_Substantia_nigra	2.23	27.74	-3.578	Not hotspot	NA
PHF6::HPRT1_i_i_912279	Breast_Mammary_Tissue	2.92	23.15	-2.945	Not hotspot	NA
